Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
CRIMINAL MISCHIEF,N,2019-09-05,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
THEFT,N,2021-06-01,RENTAL STORAGE FACILITY,78751,30.30442487,-97.71428572
THEFT,N,2019-08-26,OTHER / UNKNOWN,78744,30.16103508,-97.78787119
THEFT,N,2019-03-02,RESIDENCE / HOME,78729,30.43824117,-97.7680784
CRIMINAL MISCHIEF,N,2020-05-09,CONVENIENCE STORE,78723,30.30825459,-97.67108733
THEFT,N,2019-05-17,RESIDENCE / HOME,78753,30.40890225,-97.66538527
BURGLARY OF VEHICLE,N,2021-05-12,PARKING /DROP LOT/ GARAGE,78617,30.2047188,-97.63309584
CRIMINAL MISCHIEF,N,2020-10-14,OTHER / UNKNOWN,78736,30.24744082,-97.89040911
FAMILY DISTURBANCE,N,2021-02-10,RESIDENCE / HOME,78752,30.33174263,-97.68835022
BURGLARY OF VEHICLE,N,2020-07-14,RESIDENCE / HOME,78753,30.41019764,-97.67837875
BURGLARY OF VEHICLE,N,2019-12-02,RESIDENCE / HOME,78705,30.29006613,-97.75024068
CRIMINAL MISCHIEF,N,2020-05-11,OTHER / UNKNOWN,78752,30.3342784,-97.70721311
FAMILY DISTURBANCE,N,2021-05-17,RESIDENCE / HOME,78753,30.39295402,-97.67684845
FAMILY DISTURBANCE,N,2019-10-03,RESIDENCE / HOME,78749,30.22504417,-97.87811114
BURGLARY OF VEHICLE,N,2020-04-25,PARKING /DROP LOT/ GARAGE,78736,30.23697855,-97.89934928
BURGLARY OF VEHICLE,N,2020-08-11,HOTEL / MOTEL / ETC.,78753,30.33802276,-97.69507465
CRIMINAL MISCHIEF,N,2019-11-02,COMMERCIAL / OFFICE BUILDING,78702,30.26280696,-97.72198906
FAMILY DISTURBANCE,N,2019-08-03,RESIDENCE / HOME,78723,30.30238108,-97.68482515
BURGLARY OF VEHICLE,N,2020-01-08,PARKING /DROP LOT/ GARAGE,78759,30.3999032,-97.7394387
THEFT,N,2019-11-18,RESIDENCE / HOME,78702,30.27625385,-97.70573055
THEFT,N,2021-11-30,RESIDENCE / HOME,78748,30.18457006,-97.81195353
CRIMINAL MISCHIEF,N,2020-10-29,PARKING /DROP LOT/ GARAGE,78758,30.37119483,-97.71452465
THEFT,N,2019-11-29,RESIDENCE / HOME,78748,30.15665363,-97.80422852
THEFT,N,2020-03-18,PARK / PLAYGROUND,78702,30.24964396,-97.72483186
THEFT,N,2021-04-21,RESIDENCE / HOME,78721,30.27185663,-97.69304878
FAMILY DISTURBANCE,N,2019-05-07,RESIDENCE / HOME,78747,30.1491934,-97.73740048
THEFT,N,2021-07-25,RESIDENCE / HOME,78723,30.31651937,-97.69235612
CRIMINAL MISCHIEF,N,2020-12-29,COMMERCIAL / OFFICE BUILDING,78758,30.40587642,-97.7153055
FAMILY DISTURBANCE,N,2021-11-18,PARKING /DROP LOT/ GARAGE,78750,30.43983151,-97.77928207
BURGLARY OF VEHICLE,N,2020-11-07,RESIDENCE / HOME,78754,30.35411082,-97.61401741
FAMILY DISTURBANCE,N,2021-03-11,RESIDENCE / HOME,78723,30.32161289,-97.6800934
FAMILY DISTURBANCE,N,2021-12-20,RESIDENCE / HOME,78744,30.19351301,-97.7329771
CRIMINAL MISCHIEF,N,2019-03-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78759,30.38467462,-97.74434675
BURGLARY OF VEHICLE,N,2020-05-10,RESIDENCE / HOME,78727,30.42592289,-97.72647204
FAMILY DISTURBANCE,N,2020-11-23,RESIDENCE / HOME,78741,30.2316152,-97.73645832
FAMILY DISTURBANCE,N,2021-12-19,RESIDENCE / HOME,78727,30.42092143,-97.70967318
BURGLARY OF VEHICLE,N,2019-01-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78757,30.33510268,-97.7419134
BURGLARY OF VEHICLE,N,2020-04-29,COMMERCIAL / OFFICE BUILDING,78758,30.41260065,-97.6958102
THEFT,N,2020-03-05,SCHOOL - COLLEGE / UNIVERSITY,78752,30.32659332,-97.71781507
